GameName,GameID,p1Owned,p2Owned,finished
Expeditions,2477340,false,false,false
Atlas Fallen,1096600,true,false,false
Dying Light 2,534380,true,false,false
Grounded,962130,true,false,false
Gangs of Sherwood,1351000,false,false,false
Wo Long,1448440,false,false,false
Barony,371970,false,false,false
Outward 2,2849490,false,false,false
Redfall,1294810,false,false,false
Resident Evil 6,221040,true,true,true
Resident Evil 5,21690,true,true,true
The Last Oricru,1663640,true,true,true
Evil West,1065310,true,true,true
Gunmetal Gothic,2248150,false,false,false
Vagante,323220,true,false,false
Hammerwatch II,1538970,false,false,false
Crime Boss: Rockay City,2933080,true,true,true
ELDEN RING Shadow of the Erdtree,2778580,true,true,true
Gears 5,1097840,true,true,true
FlyKnight Prelude,3108510,false,false,false
Into the Radius 2,2307350,false,false,false
WH40k: Space Marine 2,2183900,true,true,true
Factorio,427520,true,false,false
Perennial Order,1411020,false,false,false
Wayfinder,1171690,false,false,false